,user,tweetText,simplePolarity,nouns,party,state
1639,RepDavidEPrice,Our country is stronger when we protect amp embrace all identities I m honored to receive a perfect score from in their Congressional Scorecard and will continue championing LGBTQI rights in housing health care education amp beyond HRCscorecard,1.0,"['amp embrace', 'perfect score', 'scorecard', 'lgbtqi', 'health care education amp', 'hrcscorecard']",D,North Carolina
1640,virginiafoxx,Sending my congratulations to the people of Taiwan on their 109th National Day As a close ally to the United States Taiwan has played an important role in providing PPE during this unprecedented time This alliance will be sustained for many years to come TaiwanNationalDay,0.5,"['sending', 'taiwan', 'national day', 'close ally', 'taiwan', 'important role', 'ppe', 'unprecedented time', 'taiwannationalday']",R,North Carolina
1641,virginiafoxx, JUST IN via announced a nationwide extension for school nutrition program waivers through the end,0.0,"['just in', 'school nutrition program waivers']",R,North Carolina
1642,virginiafoxx,Impeachment A misguided Coronavirus Committee Now the 25th Amendment Democrats apparently have the time to come up with baseless pursuits that are devoid of logic But they don t have time to work with Republicans to protect the American people No surprise at all,-0.016666666666666666,"['impeachment', 'coronavirus', 'amendment', 'baseless pursuits', 'don t', 'american people']",R,North Carolina
1643,virginiafoxx,Let me spell this out very clearly Y O U N A I L E D I T T O N I G H T,0.13000000000000003,"['u n', 'e d', 't t', 'g h t']",R,North Carolina
1644,virginiafoxx,This has become a routine for Speaker Pelosi Claim to fight for Americans Engage in negotiations Abruptly leave the table Introduce her own relief package Repeat The American people deserve better than her inaction,0.24375,"['pelosi claim', 'engage', 'abruptly', 'introduce', 'own relief package', 'repeat', 'american people deserve']",R,North Carolina
1645,RepMarkWalker,Religious freedom wins once again Thankful for those who fought to protect this cornerstone right for Capitol Hill Baptist Church Why this November matters,0.1952380952380952,"['religious freedom', 'thankful', 'capitol hill', 'baptist', 'november']",R,North Carolina
1646,RepMarkWalker,Truly privileged to be able to spend this Sunday morning with Pastor Dr Ron Baity and the congregation at Berean Baptist Church Thank you all for having me,0.5,"['truly', 'pastor dr ron baity', 'berean baptist', 'thank']",R,North Carolina
1647,RepMarkWalker,Tonight I was blessed to speak at an event for Genesis Ministries of Rockingham County who do amazing work providing a new beginning for women bound by addiction Their professionalism amp foundation rooted in the love amp grace of Jesus is evident in their students amp graduates,0.3715909090909091,"['genesis ministries', 'rockingham', 'amazing work', 'new beginning', 'professionalism amp foundation', 'amp grace', 'jesus', 'students amp graduates']",R,North Carolina
1648,RepMarkWalker, Let s go LU WINS 40 7 GoFlames RiseWithUs TougherTogether,0.3,"['lu wins', 'goflames risewithus toughertogether']",R,North Carolina
1649,RepMarkWalker,Today is WorldMentalHealthDay I pause to think of all the families many who have suffered privately I pray that one day the stigma amp shame is no longer part of the conversation To all with loved ones amp those directly impacted may God comfort you on this day of recognition,0.325,"['worldmentalhealthday', 'stigma amp shame', 'ones amp', 'god']",R,North Carolina
1650,RepDavidRouzer, FACT CHECK Republicans doubled the child tax credit and the standard deduction for all taxpayers So when the Democrats sa,0.0,"['fact check', 'child tax credit', 'standard deduction']",R,North Carolina
1651,RepDavidRouzer, Nancy Pelosi s all or nothing approach has derailed relief negotiations every single time Today is no different At a mini,-0.03571428571428571,"['nancy pelosi', 'relief negotiations']",R,North Carolina
1652,RepDavidRouzer, Whip opened today s hearing with the facts about COVID 19 and highlighted President s leaders,0.0,"['whip', 's hearing', 'covid', 'president s leaders']",R,North Carolina
1653,RepDavidRouzer,Praying for President and Melania Trump s full and speedy recovery,0.35,"['praying', 'melania trump', 'speedy recovery']",R,North Carolina
1654,RepDavidRouzer, BREAKING NEWS Democrats are about to ram a bill through the House that gives more taxpayer money to illegal immigran,0.0,"['breaking news', 'taxpayer money', 'illegal immigran']",R,North Carolina
1655,RepRichHudson, Under President Trump our economy has added back 11 4 million jobs in just 5 months recovering over 50 of jobs lost when,0.0,['trump'],R,North Carolina
1656,RepRichHudson,Proud to join and other colleagues on cosponsoring a bill today to allow nonprofit firefighters and EMS workers to access the NC State Pension Fund They work to keep us safe and deserve this critical retirement support ncpol,0.29375,"['proud', 'nonprofit firefighters', 'ems', 'nc', 'pension', 'critical retirement support ncpol']",R,North Carolina
1657,RepRichHudson, Today on National Manufacturing Day we honor the Americans and companies working around the clock to produce the suppl,0.0,['manufacturing'],R,North Carolina
